CourseCategory,Month,ForecastMonth,PastEnrollmentCount,CurrentRevenue,PastAverageRevenue,TargetCategoryRevenue,CourseCount,AverageCoursePrice,AverageCourseRating,MonthNumber,RevenuePerEnrollment
Machine Learning,2025-05,2025-06,74,11.700000000000001,12.168000000000001,12.48,5,0.156,2.6580000000000004,6,0.15810810810810813
Machine Learning,2025-06,2025-07,75,12.48,12.22,12.48,5,0.156,2.6580000000000004,7,0.1664
Machine Learning,2025-07,2025-08,64,12.48,12.257142857142858,11.700000000000001,5,0.156,2.6580000000000004,8,0.195
Machine Learning,2025-08,2025-09,80,11.700000000000001,12.1875,12.48,5,0.156,2.6580000000000004,9,0.14625000000000002
Machine Learning,2025-09,2025-10,87,12.48,12.22,7.800000000000001,5,0.156,2.6580000000000004,10,0.14344827586206896
Machine Learning,2025-10,2025-11,58,7.800000000000001,11.778,7.0200000000000005,5,0.156,2.6580000000000004,11,0.13448275862068967
Machine Learning,2025-11,2025-12,60,7.0200000000000005,11.345454545454546,8.58,5,0.156,2.6580000000000004,12,0.117
Marketing,2025-01,2025-02,68,0.0,0.0,0.0,5,0.0,3.722,2,0.0
Marketing,2025-02,2025-03,59,0.0,0.0,0.0,5,0.0,3.722,3,0.0
Marketing,2025-03,2025-04,60,0.0,0.0,0.0,5,0.0,3.722,4,0.0
Marketing,2025-04,2025-05,58,0.0,0.0,0.0,5,0.0,3.722,5,0.0
Marketing,2025-05,2025-06,60,0.0,0.0,0.0,5,0.0,3.722,6,0.0
Marketing,2025-06,2025-07,84,0.0,0.0,0.0,5,0.0,3.722,7,0.0
Marketing,2025-07,2025-08,60,0.0,0.0,0.0,5,0.0,3.722,8,0.0
Marketing,2025-08,2025-09,76,0.0,0.0,0.0,5,0.0,3.722,9,0.0
Marketing,2025-09,2025-10,74,0.0,0.0,0.0,5,0.0,3.722,10,0.0
Marketing,2025-10,2025-11,66,0.0,0.0,0.0,5,0.0,3.722,11,0.0
Marketing,2025-11,2025-12,81,0.0,0.0,0.0,5,0.0,3.722,12,0.0
Programming,2025-01,2025-02,72,8501.039999999999,8501.039999999999,5195.08,5,94.45599999999999,3.036,2,118.07
Programming,2025-02,2025-03,58,5195.08,6848.0599999999995,3778.24,5,94.45599999999999,3.036,3,89.57034482758621
Programming,2025-03,2025-04,63,3778.24,5824.786666666667,6611.92,5,94.45599999999999,3.036,4,59.97206349206349
Programming,2025-04,2025-05,65,6611.92,6021.57,8028.759999999999,5,94.45599999999999,3.036,5,101.72184615384616
Programming,2025-05,2025-06,76,8028.759999999999,6423.008,5195.08,5,94.45599999999999,3.036,6,105.64157894736842
Programming,2025-06,2025-07,66,5195.08,6218.353333333333,5667.36,5,94.45599999999999,3.036,7,78.71333333333334
Programming,2025-07,2025-08,73,5667.36,6139.639999999999,5667.36,5,94.45599999999999,3.036,8,77.63506849315068
Programming,2025-08,2025-09,65,5667.36,6080.605,10862.439999999999,5,94.45599999999999,3.036,9,87.19015384615385
Programming,2025-09,2025-10,71,10862.439999999999,6611.92,6139.639999999999,5,94.45599999999999,3.036,10,152.9921126760563
Programming,2025-10,2025-11,63,6139.639999999999,6564.692,6139.639999999999,5,94.45599999999999,3.036,11,97.45460317460316
Programming,2025-11,2025-12,73,6139.639999999999,6526.050909090909,5667.36,5,94.45599999999999,3.036,12,84.10465753424657
Project Management,2025-01,2025-02,69,13141.95,13141.95,9491.98,5,203.462,3.142,2,190.4630434782609
Project Management,2025-02,2025-03,63,9491.98,11316.965,16565.19,5,203.462,3.142,3,150.6663492063492
Project Management,2025-03,2025-04,74,16565.19,13066.373333333333,14278.0,5,203.462,3.142,4,223.8539189189189
Project Management,2025-04,2025-05,72,14278.0,13369.28,13899.73,5,203.462,3.142,5,198.30555555555554
Project Management,2025-05,2025-06,73,13899.73,13475.369999999999,14535.210000000001,5,203.462,3.142,6,190.4072602739726
Project Management,2025-06,2025-07,66,14535.210000000001,13652.01,12514.67,5,203.462,3.142,7,220.23045454545456
Project Management,2025-07,2025-08,63,12514.67,13489.532857142858,15645.580000000002,5,203.462,3.142,8,198.64555555555555
Project Management,2025-08,2025-09,74,15645.580000000002,13759.03875,14674.45,5,203.462,3.142,9,211.4267567567568
Project Management,2025-09,2025-10,67,14674.45,13860.751111111113,13208.09,5,203.462,3.142,10,219.0216417910448
Project Management,2025-10,2025-11,65,13208.09,13795.485,16582.129999999997,5,203.462,3.142,11,203.20138461538463
Project Management,2025-11,2025-12,77,16582.129999999997,14048.816363636364,14566.23,5,203.462,3.142,12,215.35233766233762
Web Development,2025-01,2025-02,69,1181.38,1181.38,1141.5500000000002,5,19.042,2.846,2,17.12144927536232
Web Development,2025-02,2025-03,63,1141.5500000000002,1161.4650000000001,1769.1599999999999,5,19.042,2.846,3,18.119841269841274
Web Development,2025-03,2025-04,84,1769.1599999999999,1364.03,1219.27,5,19.042,2.846,4,21.06142857142857
Web Development,2025-04,2025-05,67,1219.27,1327.8400000000001,1428.15,5,19.042,2.846,5,18.198059701492536
Web Development,2025-05,2025-06,72,1428.15,1347.902,1753.61,5,19.042,2.846,6,19.835416666666667
Web Development,2025-06,2025-07,74,1753.61,1415.52,1103.66,5,19.042,2.846,7,23.697432432432432
Web Development,2025-07,2025-08,59,1103.66,1370.9685714285715,1332.94,5,19.042,2.846,8,18.706101694915255
Web Development,2025-08,2025-09,76,1332.94,1366.215,1524.33,5,19.042,2.846,9,17.538684210526316
Web Development,2025-09,2025-10,74,1524.33,1383.7833333333333,1161.95,5,19.042,2.846,10,20.599054054054054
Web Development,2025-10,2025-11,62,1161.95,1361.6,1313.51,5,19.042,2.846,11,18.741129032258065
Web Development,2025-11,2025-12,67,1313.51,1357.2281818181818,1752.64,5,19.042,2.846,12,19.60462686567164
